IMD Rank,IMD Decile,ITL1,ITL2
33622,10,London,Outer London - West and North West
16012,5,London,Outer London - West and North West
19901,6,London,Outer London - West and North West
12260,4,London,Outer London - West and North West
12162,4,London,Outer London - West and North West
21181,7,London,Outer London - West and North West
6120,2,London,Outer London - West and North West
15501,5,London,Outer London - West and North West
14521,5,London,Outer London - West and North West
24553,8,London,Outer London - West and North West
25879,8,London,Outer London - West and North West
18828,6,London,Outer London - West and North West
22747,7,London,Outer London - West and North West
16400,5,London,Outer London - West and North West
18747,6,London,Outer London - West and North West
16734,5,London,Outer London - West and North West
12857,4,London,Outer London - West and North West
22827,7,London,Outer London - West and North West
29247,9,London,Outer London - West and North West
12710,4,London,Outer London - West and North West
30965,10,London,Outer London - West and North West
21218,7,London,Outer London - West and North West
8458,3,London,Outer London - West and North West
12774,4,London,Outer London - West and North West
7793,3,London,Outer London - West and North West
13189,4,London,Outer London - West and North West
14804,5,London,Outer London - West and North West
7872,3,London,Outer London - West and North West
15318,5,London,Outer London - West and North West
8621,3,London,Outer London - West and North West
6925,3,London,Outer London - West and North West
15599,5,London,Outer London - West and North West
7642,3,London,Outer London - West and North West
12199,4,London,Outer London - West and North West
20390,7,London,Outer London - West and North West
22336,7,London,Outer London - West and North West
27228,9,London,Outer London - West and North West
23214,7,London,Outer London - West and North West
17664,6,London,Outer London - West and North West
16776,5,London,Outer London - West and North West
11509,4,London,Outer London - West and North West
21585,7,London,Outer London - West and North West
31750,10,London,Outer London - East and North East
23161,7,London,Outer London - East and North East
29019,9,London,Outer London - East and North East
26848,8,London,Outer London - East and North East
19997,6,London,Outer London - East and North East
18526,6,London,Outer London - East and North East
11694,4,London,Outer London - East and North East
21811,7,London,Outer London - East and North East
9142,3,London,Outer London - East and North East
21736,7,London,Outer London - East and North East
12975,4,London,Outer London - East and North East
7449,3,London,Outer London - East and North East
12671,4,London,Outer London - East and North East
15538,5,London,Outer London - East and North East
20993,7,London,Outer London - East and North East
27048,9,London,Outer London - East and North East
27874,9,London,Outer London - East and North East
27283,9,London,Outer London - East and North East
26845,8,London,Outer London - East and North East
28439,9,London,Outer London - East and North East
30937,10,London,Outer London - East and North East
28910,9,London,Outer London - East and North East
24850,8,London,Outer London - East and North East
33252,10,London,Outer London - East and North East
31870,10,London,Outer London - East and North East
31132,10,London,Outer London - East and North East
29881,9,London,Outer London - East and North East
19194,6,London,Outer London - East and North East
32481,10,London,Outer London - East and North East
18486,6,London,Outer London - East and North East
31700,10,London,Outer London - East and North East
28847,9,London,Outer London - East and North East
33250,10,London,Outer London - East and North East
30318,9,London,Outer London - East and North East
31748,10,London,Outer London - East and North East
13810,5,London,Outer London - East and North East
28098,9,London,Outer London - East and North East
